"","PlayerId","Team","Name"
"1583",2583962,"CLE","K. Pangos"
"2108",3059307,"PHX","I. Wainright"
"2284",3074213,"MIA","O. Yurtseven"
"2816",3146557,"SA","J. Landale"
"2950",3899009,"DEN","P. Cornelie"
"3208",3929321,"OKC","G. Deck"
"3444",4065731,"LAL","J. Huff"
"3707",4066410,"DAL","E. Omoruyi"
"3744",4066450,"HOU","A. Brooks"
"3755",4066457,"LAL","A. Reaves"
"3765",4066467,"UTAH","M. Fitts"
"3768",4066496,"DAL","J. McLaughlin"
"3805",4066786,"GS","J. Dowtin"
"3807",4066796,"IND","D. Jarreau"
"3878",4277813,"NO","H. Jones"
"3962",4277869,"NO","J. Alvarado"
"4009",4277892,"MIA","M. Garrett"
"4029",4277916,"CLE","R. Nembhard Jr."
"4047",4277922,"NY","J. Sims"
"4055",4277951,"DET","L. Garza"
"4156",4278053,"SAC","D. Mitchell"
"4247",4278116,"MEM","Y. Pons"
"4276",4278507,"MIN","M. Wright IV"
"4325",4278566,"DET","J. Pickett"
"4327",4278580,"MIL","S. Mamukelashvili"
"4360",4280150,"WSH","J. Ayayi"
"4363",4280151,"WSH","C. Kispert"
"4500",4395695,"UTAH","J. Butler"
"4640",4397002,"CHI","A. Dosunmu"
"4667",4397014,"NY","Q. Grimes"
"4685",4397033,"SA","J. Wieskamp"
"4763",4397183,"OKC","A. Wiggins"
"4785",4397209,"PHI","A. Henry"
"4786",4397235,"IND","D. Washington Jr."
"4788",4397688,"NO","T. Murphy III"
"4805",4397693,"BKN","K. Edwards"
"4806",4397885,"TOR","D. Banton"
"4823",4397886,"PHI","C. Bassey"
"4863",4423885,"NO","D. Louzada"
"4881",4431675,"POR","T. Watford"
"4926",4431699,"CHA","K. Jones"
"4931",4431712,"CHA","J. Bouknight"
"4937",4431823,"NY","M. McBride"
"4956",4432158,"CLE","E. Mobley"
"4971",4432161,"POR","G. Brown III"
"4977",4432162,"LAC","B. Boston Jr."
"4984",4432164,"PHI","J. Springer"
"4985",4432165,"ORL","J. Suggs"
"5000",4432166,"DET","C. Cunningham"
"5010",4432168,"HOU","J. Christopher"
"5020",4432170,"IND","I. Jackson"
"5022",4432171,"GS","M. Moody"
"5035",4432173,"ATL","S. Cooper"
"5039",4432174,"BKN","C. Thomas"
"5048",4432192,"LAC","K. Johnson"
"5049",4432194,"BKN","D. Sharpe"
"5093",4432813,"OKC","J. Robinson-Earl"
"5125",4432819,"OKC","T. Mann"
"5145",4432907,"TOR","J. Champagnie"
"5152",4433134,"TOR","S. Barnes"
"5167",4433137,"MEM","Z. Williams"
"5180",4433247,"GS","J. Kuminga"
"5190",4437244,"HOU","J. Green"
"5205",4566434,"ORL","F. Wagner"
"5221",4578893,"OKC","V. Krejci"
"5240",4592204,"TOR","D. Johnson"
"5241",4592402,"IND","C. Duarte"
"5256",4592492,"DEN","B. Hyland"
"5269",4593125,"MEM","S. Aldama"
"5320",4683022,"MIL","G. Kalaitzakis"
"5325",4683023,"LAC","J. Scrubb"
"5344",4683025,"MIN","L. Bolmaro"
"5358",4701230,"ATL","J. Johnson"
"5364",4702176,"SA","J. Primo"
"5367",4702233,"CHA","J. Thor"
"5369",4715198,"WSH","I. Todd"
"5372",4871143,"HOU","U. Garuba"
"5379",4871144,"HOU","A. Sengun"
"5393",4871145,"OKC","J. Giddey"
"5408",4895499,"NY","W. Selden"
